seqnames,start,end,group
chr10,5434193,5434207,COAD
chr10,5442246,5442260,COAD
chr10,5446535,5446552,COAD
chr10,5446564,5446578,COAD
chr10,5447721,5447735,COAD
chr10,5452499,5452513,COAD
chr10,5468513,5468527,COAD
chr10,5473361,5473378,COAD
chr10,5485717,5485731,COAD
chr10,5486951,5486965,COAD
chr10,5487718,5487732,COAD
chr10,5489910,5489924,COAD
chr10,5490898,5490912,COAD
chr10,5494698,5494712,COAD
chr10,5498828,5498852,COAD
chr10,5498872,5498889,COAD
chr10,5501104,5501121,COAD
chr10,5507553,5507567,COAD
chr10,5515547,5515565,COAD
chr10,5526992,5527006,COAD
chr10,5529580,5529594,COAD
chr10,5533706,5533720,COAD
chr10,5534573,5534587,COAD
chr10,5537402,5537416,COAD
chr10,5538765,5538779,COAD
chr10,5538793,5538807,COAD
chr10,5540977,5540991,COAD
chr10,5545915,5545929,COAD
chr10,5545960,5545974,COAD
chr10,5547513,5547527,COAD
chr10,5548305,5548319,COAD
chr10,5549816,5549830,COAD
chr10,5550559,5550573,COAD
chr10,5551537,5551551,COAD
chr10,5560966,5560987,COAD
chr10,5563315,5563329,COAD
chr10,5570401,5570415,COAD
chr10,5574691,5574705,COAD
chr10,5574987,5575001,COAD
chr10,5583821,5583835,COAD
chr10,5585356,5585370,COAD
chr10,5587157,5587171,COAD
chr10,5587368,5587382,COAD
chr10,5587677,5587694,COAD
chr10,5590307,5590321,COAD
chr10,5596964,5596981,COAD
chr10,5596986,5597000,COAD
chr10,5597067,5597081,COAD
chr10,5597235,5597249,COAD
chr10,5600058,5600081,COAD
chr10,5606572,5606586,COAD
chr10,5608643,5608657,COAD
chr10,5609105,5609119,COAD
chr10,5610008,5610022,COAD
chr10,5610126,5610140,COAD
chr10,5613502,5613516,COAD
chr10,5613637,5613651,COAD
chr10,5619127,5619141,COAD
chr10,5622362,5622376,COAD
chr10,5623268,5623282,COAD
chr10,5623319,5623333,COAD
chr10,5626490,5626504,COAD
chr10,5628497,5628511,COAD
chr10,5628714,5628728,COAD
chr10,5630017,5630035,COAD
chr10,5638114,5638128,COAD
chr10,5640259,5640273,COAD
chr10,5640638,5640652,COAD
chr10,5646210,5646224,COAD
chr10,5650368,5650382,COAD
chr10,5655642,5655656,COAD
chr10,5663320,5663334,COAD
chr10,5666603,5666627,COAD
chr10,5666699,5666713,COAD
chr10,5685706,5685720,COAD
chr10,5692774,5692800,COAD
chr10,5715979,5715997,COAD
chr10,5746295,5746309,COAD
chr10,5749309,5749323,COAD
chr10,5764613,5764627,COAD
chr10,5867986,5868000,COAD
chr10,5873629,5873643,COAD
chr10,5887686,5887700,COAD
chr10,5888454,5888468,COAD
chr10,5889928,5889942,COAD
chr10,5890193,5890207,COAD
chr10,5890235,5890249,COAD
chr10,5942537,5942551,COAD
chr10,5943492,5943506,COAD
chr10,5945976,5945990,COAD
chr10,5949556,5949570,COAD
chr10,5962668,5962682,COAD
chr10,5962758,5962772,COAD
chr10,5965033,5965056,COAD
chr10,5965067,5965081,COAD
chr10,5966259,5966273,COAD
chr10,5977959,5977973,COAD
chr10,5978107,5978124,COAD
chr10,5999615,5999629,COAD
chr10,6000792,6000806,COAD
chr10,6014335,6014349,COAD
chr10,6050990,6051004,COAD
chr10,6054168,6054182,COAD
chr10,6086575,6086589,COAD
chr10,6088809,6088826,COAD
chr10,6088872,6088886,COAD
chr10,6102262,6102276,COAD
chr10,6102346,6102360,COAD
chr10,6102472,6102489,COAD
chr10,6108870,6108884,COAD
chr10,6109104,6109118,COAD
chr10,6120032,6120046,COAD
chr10,6140676,6140690,COAD
chr10,6140717,6140731,COAD
chr10,6144802,6144816,COAD
chr10,6145772,6145786,COAD
chr10,6147641,6147655,COAD
chr10,6151586,6151600,COAD
chr10,6162742,6162756,COAD
chr10,6163675,6163689,COAD
chr10,6163695,6163719,COAD
chr10,6171956,6171970,COAD
chr10,6173343,6173357,COAD
chr10,6201494,6201508,COAD
chr10,6201561,6201575,COAD
chr10,6201703,6201717,COAD
chr10,6202760,6202787,COAD
chr10,6203451,6203474,COAD
chr10,6204108,6204129,COAD
chr10,6204267,6204281,COAD
chr10,6231810,6231824,COAD
chr10,6256575,6256589,COAD
chr10,6272064,6272078,COAD
chr10,6279551,6279565,COAD
chr10,6279718,6279732,COAD
chr10,6292368,6292382,COAD
chr10,6401989,6402003,COAD
chr10,6417066,6417080,COAD
chr10,6580350,6580378,COAD
chr10,6647920,6647936,COAD
chr10,6648114,6648128,COAD
chr10,6786631,6786645,COAD
chr10,6786709,6786723,COAD
chr10,6920174,6920188,COAD
chr10,7130481,7130498,COAD
chr10,7130611,7130625,COAD
chr10,7130755,7130769,COAD
chr10,7287790,7287804,COAD
chr10,7408669,7408683,COAD
chr10,7472116,7472130,COAD
chr10,7472181,7472195,COAD
chr10,7481148,7481162,COAD
chr10,7525592,7525606,COAD
chr10,7687475,7687489,COAD
chr10,7687655,7687669,COAD
chr10,7756582,7756596,COAD
chr10,7787527,7787541,COAD
chr10,7788032,7788046,COAD
chr10,7789569,7789583,COAD
chr10,7793411,7793425,COAD
chr10,7810862,7810876,COAD
chr10,7818375,7818393,COAD
chr10,7818428,7818445,COAD
chr10,7818502,7818519,COAD
chr10,7819082,7819096,COAD
chr10,7819282,7819296,COAD
chr10,7872169,7872183,COAD
chr10,7886272,7886286,COAD
chr10,7932377,7932391,COAD
chr10,8052150,8052164,COAD
chr10,8053335,8053349,COAD
chr10,8053448,8053473,COAD
chr10,8053564,8053588,COAD
chr10,8054514,8054528,COAD
chr10,8103182,8103196,COAD
chr10,8103252,8103266,COAD
chr10,8103330,8103344,COAD
chr10,8159828,8159842,COAD
chr10,8322185,8322199,COAD
chr10,8332369,8332383,COAD
chr10,8332385,8332408,COAD
chr10,8332456,8332472,COAD
chr10,8366626,8366640,COAD
chr10,8596728,8596742,COAD
chr10,8596842,8596856,COAD
chr10,8601228,8601242,COAD
chr10,9209379,9209393,COAD
chr10,9302351,9302365,COAD
chr10,9402252,9402266,COAD
chr10,9402425,9402439,COAD
chr10,9743624,9743638,COAD
chr10,9825149,9825163,COAD
chr10,10677662,10677676,COAD
chr10,10738667,10738681,COAD
chr10,10788932,10788946,COAD
chr10,10805686,10805700,COAD
chr10,10821916,10821930,COAD
chr10,10827060,10827074,COAD
chr10,10967104,10967121,COAD
chr10,11017780,11017800,COAD
chr10,11017869,11017883,COAD
chr10,11036619,11036636,COAD
chr10,11142861,11142875,COAD
chr10,11142905,11142919,COAD
chr10,11142949,11142963,COAD
chr10,11142993,11143007,COAD
chr10,11143037,11143051,COAD
chr10,11143081,11143095,COAD
chr10,11178303,11178317,COAD
chr10,11199104,11199118,COAD
chr10,11213318,11213332,COAD
chr10,11270768,11270785,COAD
chr10,11337528,11337542,COAD
chr10,11337711,11337725,COAD
chr10,11345993,11346007,COAD
chr10,11424447,11424461,COAD
chr10,11424691,11424705,COAD
chr10,11451809,11451823,COAD
chr10,11451917,11451931,COAD
chr10,11454301,11454315,COAD
chr10,11454398,11454412,COAD
chr10,11454462,11454476,COAD
chr10,11472327,11472345,COAD
chr10,11499493,11499507,COAD
chr10,11499692,11499706,COAD
chr10,11515797,11515811,COAD
chr10,11533633,11533660,COAD
chr10,11554880,11554897,COAD
chr10,11560251,11560265,COAD
chr10,11600847,11600861,COAD
chr10,11611698,11611712,COAD
chr10,11664342,11664356,COAD
chr10,11664409,11664423,COAD
chr10,11670448,11670462,COAD
chr10,11682978,11682992,COAD
chr10,11683840,11683854,COAD
chr10,11687996,11688010,COAD
chr10,11689177,11689191,COAD
chr10,11692351,11692365,COAD
chr10,11697070,11697084,COAD
chr10,11708099,11708113,COAD
chr10,11712860,11712874,COAD
chr10,11716448,11716462,COAD
chr10,11716893,11716907,COAD
chr10,11725398,11725412,COAD
chr10,11737328,11737342,COAD
chr10,11743844,11743858,COAD
chr10,11758097,11758111,COAD
chr10,11773032,11773046,COAD
chr10,11773089,11773103,COAD
chr10,11782979,11782993,COAD
chr10,11792937,11792951,COAD
chr10,11810384,11810398,COAD
chr10,11823392,11823406,COAD
chr10,11870036,11870050,COAD
chr10,11870175,11870189,COAD
chr10,11870201,11870215,COAD
chr10,11881233,11881247,COAD
chr10,11883345,11883359,COAD
chr10,11883445,11883459,COAD
chr10,11898570,11898584,COAD
chr10,11916178,11916192,COAD
chr10,11986782,11986799,COAD
chr10,12097880,12097894,COAD
chr10,12129592,12129606,COAD
chr10,12211463,12211477,COAD
chr10,12211675,12211689,COAD
chr10,12214852,12214866,COAD
chr10,12237674,12237688,COAD
chr10,12253063,12253077,COAD
chr10,12264332,12264346,COAD
chr10,12265946,12265960,COAD
chr10,12287986,12288000,COAD
chr10,12289274,12289288,COAD
chr10,12345547,12345561,COAD
chr10,12350107,12350127,COAD
chr10,12350568,12350582,COAD
chr10,12351716,12351730,COAD
chr10,12351742,12351756,COAD
chr10,12439344,12439358,COAD
chr10,12446575,12446589,COAD
chr10,12455115,12455129,COAD
chr10,12485477,12485491,COAD
chr10,12501659,12501673,COAD
chr10,12549469,12549486,COAD
chr10,12549730,12549744,COAD
chr10,12552548,12552562,COAD
chr10,12552647,12552661,COAD
chr10,12609641,12609655,COAD
chr10,12609863,12609877,COAD
chr10,12617524,12617538,COAD
chr10,12621980,12621994,COAD
chr10,12633990,12634004,COAD
chr10,12634629,12634643,COAD
chr10,12634783,12634797,COAD
chr10,12635184,12635198,COAD
chr10,12636696,12636710,COAD
chr10,12656713,12656727,COAD
chr10,12707763,12707777,COAD
chr10,12708199,12708213,COAD
chr10,12711278,12711292,COAD
chr10,12712518,12712532,COAD
chr10,12719523,12719537,COAD
chr10,12719723,12719743,COAD
chr10,12766476,12766490,COAD
chr10,12806536,12806550,COAD
chr10,12807518,12807532,COAD
chr10,12807588,12807602,COAD
chr10,12814326,12814343,COAD
chr10,12960635,12960658,COAD
chr10,12960773,12960787,COAD
chr10,13001551,13001590,COAD
chr10,13001663,13001677,COAD
chr10,13001782,13001796,COAD
chr10,13075003,13075017,COAD
chr10,13088559,13088573,COAD
chr10,13099282,13099296,COAD
chr10,13116065,13116079,COAD
chr10,13158755,13158769,COAD
chr10,13161350,13161364,COAD
chr10,13161635,13161664,COAD
chr10,13220103,13220117,COAD
chr10,13220184,13220198,COAD
chr10,13271304,13271321,COAD
chr10,13271692,13271709,COAD
chr10,13272389,13272403,COAD
chr10,13300092,13300119,COAD
chr10,13301237,13301251,COAD
chr10,13302466,13302480,COAD
chr10,13302509,13302523,COAD
chr10,13336032,13336046,COAD
chr10,13351833,13351850,COAD
chr10,13353106,13353120,COAD
chr10,13372061,13372075,COAD
chr10,13377899,13377913,COAD
chr10,13401651,13401665,COAD
chr10,13401858,13401875,COAD
chr10,13415130,13415144,COAD
chr10,13439747,13439761,COAD
chr10,13440606,13440620,COAD
chr10,13440650,13440664,COAD
chr10,13483293,13483307,COAD
chr10,13484289,13484303,COAD
chr10,13529095,13529115,COAD
chr10,13536928,13536952,COAD
chr10,13586844,13586871,COAD
chr10,13660151,13660165,COAD
chr10,13699356,13699370,COAD
chr10,13707527,13707541,COAD
chr10,13715865,13715879,COAD
chr10,13718352,13718366,COAD
chr10,13767814,13767828,COAD
chr10,13767929,13767943,COAD
chr10,13778167,13778184,COAD
chr10,13787924,13787938,COAD
chr10,13808687,13808701,COAD
chr10,13904335,13904349,COAD
chr10,13978432,13978446,COAD
chr10,14197093,14197110,COAD
chr10,14373503,14373517,COAD
chr10,14487381,14487395,COAD
chr10,14488472,14488486,COAD
chr10,14499097,14499111,COAD
chr10,14530731,14530745,COAD
chr10,14532294,14532308,COAD
chr10,14537094,14537108,COAD
chr10,14548357,14548371,COAD
chr10,14549594,14549608,COAD
chr10,14556543,14556557,COAD
chr10,14560487,14560501,COAD
chr10,14568030,14568044,COAD
chr10,14571110,14571124,COAD
chr10,14588545,14588559,COAD
chr10,14599022,14599036,COAD
chr10,14599283,14599297,COAD
chr10,14671508,14671522,COAD
chr10,14671693,14671707,COAD
chr10,14759434,14759448,COAD
chr10,14759612,14759630,COAD
chr10,14779084,14779098,COAD
chr10,14834761,14834775,COAD
chr10,14838108,14838122,COAD
chr10,14838858,14838872,COAD
chr10,14878813,14878827,COAD
chr10,14954077,14954091,COAD
chr10,14956389,14956403,COAD
chr10,14991596,14991610,COAD
chr10,14992507,14992521,COAD
chr10,14992623,14992637,COAD
chr10,14992758,14992772,COAD
chr10,14993890,14993904,COAD
chr10,15069249,15069263,COAD
chr10,15084421,15084435,COAD
chr10,15088838,15088867,COAD
chr10,15106581,15106595,COAD
chr10,15152219,15152233,COAD
chr10,15158078,15158092,COAD
chr10,15210014,15210028,COAD
chr10,15231793,15231807,COAD
chr10,15237312,15237326,COAD
chr10,15262222,15262236,COAD
chr10,15262271,15262285,COAD
chr10,15291253,15291267,COAD
chr10,15301551,15301565,COAD
chr10,15313148,15313162,COAD
chr10,15317061,15317075,COAD
chr10,15317126,15317140,COAD
chr10,15324376,15324390,COAD
chr10,15340772,15340786,COAD
chr10,15345634,15345648,COAD
chr10,15353294,15353311,COAD
chr10,15359623,15359637,COAD
chr10,15386231,15386245,COAD
chr10,15391875,15391889,COAD
chr10,15461500,15461514,COAD
chr10,15515163,15515185,COAD
chr10,15585429,15585451,COAD
chr10,15843954,15843968,COAD
chr10,15902766,15902780,COAD
chr10,16436773,16436787,COAD
chr10,16521444,16521458,COAD
chr10,16777618,16777632,COAD
chr10,16809515,16809529,COAD
chr10,16816316,16816330,COAD
chr10,16817590,16817604,COAD
chr10,16828321,16828335,COAD
chr10,16832697,16832711,COAD
chr10,16843455,16843469,COAD
chr10,16891471,16891487,COAD
chr10,17063057,17063074,COAD
chr10,17115590,17115604,COAD
chr10,17148237,17148251,COAD
chr10,17201444,17201472,COAD
chr10,17201494,17201508,COAD
chr10,17227444,17227458,COAD
chr10,17229255,17229269,COAD
chr10,17229892,17229906,COAD
chr10,17257884,17257898,COAD
chr10,17290395,17290409,COAD
chr10,17353928,17353942,COAD
chr10,17412539,17412553,COAD
chr10,17428882,17428896,COAD
chr10,17430910,17430924,COAD
chr10,17453496,17453510,COAD
chr10,17454528,17454553,COAD
chr10,17455595,17455609,COAD
chr10,17523852,17523866,COAD
chr10,17607680,17607694,COAD
chr10,17617379,17617393,COAD
chr10,17617420,17617453,COAD
chr10,17617521,17617535,COAD
chr10,17646292,17646306,COAD
chr10,17709760,17709774,COAD
chr10,17737566,17737580,COAD
chr10,17743033,17743047,COAD
chr10,17782050,17782064,COAD
chr10,17787410,17787424,COAD
chr10,17806136,17806150,COAD
chr10,17847873,17847887,COAD
chr10,17872883,17872897,COAD
chr10,17910348,17910362,COAD
chr10,18036113,18036132,COAD
chr10,18140636,18140650,COAD
chr10,18180015,18180029,COAD
chr10,18215148,18215162,COAD
chr10,18216685,18216699,COAD
chr10,18224873,18224887,COAD
chr10,18233955,18233969,COAD
chr10,18406265,18406279,COAD
chr10,18406451,18406468,COAD
chr10,18616502,18616516,COAD
chr10,18627819,18627833,COAD
chr10,18627941,18627955,COAD
chr10,18651729,18651743,COAD
chr10,18659342,18659356,COAD
chr10,18661136,18661150,COAD
chr10,18687945,18687959,COAD
chr10,18878382,18878396,COAD
chr10,18879435,18879449,COAD
chr10,19058177,19058191,COAD
chr10,19170088,19170102,COAD
chr10,19586691,19586710,COAD
chr10,19815759,19815773,COAD
chr10,19817420,19817437,COAD
chr10,19817539,19817553,COAD
chr10,19817689,19817703,COAD
chr10,19819629,19819643,COAD
chr10,19915980,19915994,COAD
chr10,19922334,19922348,COAD
chr10,19923882,19923896,COAD
chr10,19927195,19927209,COAD
chr10,20004283,20004297,COAD
chr10,20297017,20297044,COAD
chr10,20370266,20370280,COAD
chr10,20531282,20531301,COAD
chr10,20531404,20531433,COAD
chr10,20737957,20737971,COAD
chr10,21020766,21020780,COAD
chr10,21021996,21022010,COAD
chr10,21078856,21078873,COAD
chr10,21135268,21135282,COAD
chr10,21169439,21169453,COAD
chr10,21171584,21171601,COAD
chr10,21174477,21174491,COAD
chr10,21174552,21174566,COAD
chr10,21243147,21243161,COAD
chr10,21278891,21278908,COAD
chr10,21335217,21335231,COAD
chr10,21337103,21337117,COAD
chr10,21366346,21366360,COAD
chr10,21495841,21495861,COAD
chr10,21496733,21496747,COAD
chr10,21497024,21497038,COAD
chr10,21497371,21497385,COAD
chr10,21534101,21534115,COAD
chr10,21989768,21989784,COAD
chr10,21989853,21989867,COAD
chr10,22252483,22252497,COAD
chr10,22252934,22252948,COAD
chr10,22253729,22253745,COAD
chr10,22316500,22316514,COAD
chr10,22321970,22321993,COAD
chr10,22325539,22325572,COAD
chr10,22325582,22325596,COAD
chr10,22334506,22334523,COAD
chr10,22335482,22335496,COAD
chr10,22335591,22335605,COAD
chr10,22335650,22335664,COAD
chr10,22435697,22435711,COAD
chr10,22435837,22435851,COAD
chr10,22479571,22479585,COAD
chr10,22514058,22514072,COAD
chr10,22583849,22583863,COAD
chr10,22586401,22586415,COAD
chr10,22653117,22653131,COAD
chr10,22669636,22669650,COAD
chr10,22816705,22816719,COAD
chr10,22825996,22826010,COAD
chr10,22826038,22826052,COAD
chr10,22928005,22928019,COAD
chr10,22989055,22989069,COAD
chr10,23054925,23054939,COAD
chr10,23065915,23065929,COAD
chr10,23068136,23068150,COAD
chr10,23068352,23068366,COAD
chr10,23082097,23082111,COAD
chr10,23095566,23095590,COAD
chr10,23095658,23095672,COAD
chr10,23095677,23095691,COAD
chr10,23145912,23145926,COAD
chr10,23145960,23145974,COAD
chr10,23158559,23158573,COAD
chr10,23188969,23188983,COAD
chr10,23189053,23189077,COAD
chr10,23192835,23192872,COAD
chr10,23197683,23197697,COAD
chr10,23291669,23291686,COAD
chr10,23291860,23291874,COAD
chr10,23314963,23314977,COAD
chr10,23341097,23341111,COAD
chr10,23344357,23344371,COAD
chr10,23439874,23439888,COAD
chr10,23525604,23525618,COAD
chr10,23703060,23703074,COAD
chr10,23994652,23994666,COAD
chr10,24034644,24034658,COAD
chr10,24196615,24196629,COAD
chr10,24203851,24203865,COAD
chr10,24203882,24203896,COAD
chr10,24208848,24208862,COAD
chr10,24208916,24208930,COAD
chr10,24255175,24255189,COAD
chr10,24255272,24255286,COAD
chr10,24293433,24293447,COAD
chr10,24319634,24319648,COAD
chr10,24360704,24360718,COAD
chr10,24381462,24381479,COAD
chr10,24417183,24417197,COAD
chr10,24467281,24467295,COAD
chr10,24470174,24470188,COAD
chr10,24494781,24494795,COAD
chr10,24503825,24503839,COAD
chr10,24519182,24519196,COAD
chr10,24553467,24553481,COAD
chr10,24557331,24557345,COAD
chr10,24617940,24617957,COAD
chr10,24643070,24643084,COAD
chr10,24716310,24716324,COAD
chr10,24724681,24724695,COAD
chr10,24724784,24724798,COAD
chr10,24724843,24724862,COAD
chr10,24727749,24727763,COAD
chr10,24851848,24851862,COAD
chr10,24873567,24873581,COAD
chr10,24889867,24889881,COAD
chr10,24890302,24890316,COAD
chr10,24921536,24921550,COAD
chr10,24935562,24935576,COAD
chr10,24945020,24945034,COAD
chr10,24945192,24945206,COAD
chr10,24952701,24952715,COAD
chr10,24952874,24952891,COAD
chr10,24975089,24975103,COAD
chr10,25016658,25016672,COAD
chr10,25026687,25026701,COAD
chr10,25040195,25040209,COAD
chr10,25061116,25061130,COAD
chr10,25062549,25062563,COAD
chr10,25081152,25081170,COAD
chr10,25113323,25113337,COAD
chr10,25113608,25113622,COAD
chr10,25227272,25227286,COAD
chr10,25934047,25934061,COAD
chr10,25934088,25934109,COAD
chr10,25934208,25934228,COAD
chr10,25935039,25935059,COAD
chr10,26043351,26043365,COAD
chr10,26081036,26081050,COAD
chr10,26081091,26081105,COAD
chr10,26318902,26318916,COAD
chr10,26335253,26335267,COAD
chr10,26365754,26365768,COAD
chr10,26437863,26437877,COAD
chr10,26554866,26554880,COAD
chr10,26557256,26557270,COAD
chr10,26560831,26560845,COAD
chr10,26566946,26566960,COAD
chr10,26567038,26567054,COAD
chr10,26567277,26567291,COAD
chr10,26567311,26567329,COAD
chr10,26567410,26567424,COAD
chr10,26573867,26573881,COAD
chr10,26594091,26594105,COAD
chr10,26622531,26622548,COAD
chr10,26627551,26627565,COAD
chr10,26637745,26637759,COAD
chr10,26684844,26684858,COAD
chr10,26707785,26707799,COAD
chr10,26713953,26713967,COAD
chr10,26726282,26726300,COAD
chr10,26734393,26734407,COAD
chr10,26864317,26864331,COAD
chr10,26882195,26882209,COAD
chr10,26890941,26890955,COAD
chr10,26891068,26891082,COAD
chr10,26931306,26931320,COAD
chr10,26931476,26931492,COAD
chr10,26931644,26931658,COAD
chr10,26944350,26944364,COAD
