seqnames,start,end
chr10,7787527,7787541
chr10,7810862,7810876
chr10,7886272,7886286
chr10,8053574,8053588
chr10,8332385,8332408
chr10,8332456,8332472
chr10,8601228,8601242
chr10,9209379,9209393
chr10,9302351,9302365
chr10,9402252,9402266
chr10,9402425,9402439
chr10,10677662,10677676
chr10,11270768,11270785
chr10,11337528,11337542
chr10,11345993,11346007
chr10,11424447,11424461
chr10,11424691,11424705
chr10,11472327,11472345
chr10,11515797,11515811
chr10,11533633,11533660
chr10,11708099,11708113
chr10,11725398,11725412
chr10,11758097,11758111
chr10,11782979,11782993
chr10,11792937,11792951
chr10,11810384,11810398
chr10,11870036,11870050
chr10,11870201,11870215
chr10,11883345,11883359
chr10,11986782,11986799
chr10,12129592,12129606
chr10,12253063,12253077
chr10,12264332,12264346
chr10,12351716,12351730
chr10,12351742,12351756
chr10,12485477,12485491
chr10,12501659,12501673
chr10,12549469,12549486
chr10,12633990,12634004
chr10,12656713,12656727
chr10,12707763,12707777
chr10,12711278,12711292
chr10,12719523,12719537
chr10,12719723,12719737
chr10,13075003,13075017
chr10,13099282,13099296
chr10,13116065,13116079
chr10,13161350,13161364
chr10,13161635,13161652
chr10,13271692,13271709
chr10,13372061,13372075
chr10,13415130,13415144
chr10,13439747,13439761
chr10,13440650,13440664
chr10,13483293,13483307
chr10,13484289,13484303
chr10,13529095,13529115
chr10,13536928,13536952
chr10,13586844,13586861
chr10,13660151,13660165
chr10,13699356,13699370
chr10,13767929,13767943
chr10,13778167,13778184
chr10,13787924,13787938
chr10,14499097,14499111
chr10,14537094,14537108
chr10,14560487,14560501
chr10,14568030,14568044
chr10,14571110,14571124
chr10,14599022,14599036
chr10,14759434,14759448
chr10,14759612,14759630
chr10,14878813,14878827
chr10,14954077,14954091
chr10,14991596,14991610
chr10,14992507,14992521
chr10,14992623,14992637
chr10,14993890,14993904
chr10,15084421,15084435
chr10,15106581,15106595
chr10,15210014,15210028
chr10,15262222,15262236
chr10,15317061,15317075
chr10,15317126,15317140
chr10,15461500,15461514
chr10,15515171,15515185
chr10,15585429,15585451
chr10,15902766,15902780
chr10,16809515,16809529
chr10,16816316,16816330
chr10,16817590,16817604
chr10,16828321,16828335
chr10,16843455,16843469
chr10,17063057,17063074
chr10,17201444,17201458
chr10,17201494,17201508
chr10,17227444,17227458
chr10,17257884,17257898
chr10,17290395,17290409
chr10,17412539,17412553
chr10,17430910,17430924
chr10,17607680,17607694
chr10,17617420,17617434
chr10,17617436,17617453
chr10,17646292,17646306
chr10,17737566,17737580
chr10,17743033,17743047
chr10,17910348,17910362
chr10,18180015,18180029
chr10,18215148,18215162
chr10,18216685,18216699
chr10,18224873,18224887
chr10,18233955,18233969
chr10,18406265,18406279
chr10,18406451,18406468
chr10,18627819,18627833
chr10,18627941,18627955
chr10,18659342,18659356
chr10,19170088,19170102
chr10,19586691,19586710
chr10,19819629,19819643
chr10,19915980,19915994
chr10,19922334,19922348
chr10,19927195,19927209
chr10,20370266,20370280
chr10,20531282,20531301
chr10,20531419,20531433
chr10,21021996,21022010
chr10,21078856,21078873
chr10,21135268,21135282
chr10,21278891,21278908
chr10,21335217,21335231
chr10,21337103,21337117
chr10,21495847,21495861
chr10,21497371,21497385
chr10,21989768,21989784
chr10,21989853,21989867
chr10,22435697,22435711
chr10,22435837,22435851
chr10,22514058,22514072
chr10,22586401,22586415
chr10,22928005,22928019
chr10,22989055,22989069
chr10,23065915,23065929
chr10,23068136,23068150
chr10,23068352,23068366
chr10,23082097,23082111
chr10,23158559,23158573
chr10,23192835,23192872
chr10,23344357,23344371
chr10,23525604,23525618
chr10,23703060,23703074
chr10,23994652,23994666
chr10,24196615,24196629
chr10,24255175,24255189
chr10,24255272,24255286
chr10,24293433,24293447
chr10,24319634,24319648
chr10,24360704,24360718
chr10,24417183,24417197
chr10,24467281,24467295
chr10,24503825,24503839
chr10,24519182,24519196
chr10,24557331,24557345
chr10,24617940,24617957
chr10,24643070,24643084
chr10,24716310,24716324
chr10,24727749,24727763
chr10,24873567,24873581
chr10,24921536,24921550
chr10,24945020,24945034
chr10,24952701,24952715
chr10,24952874,24952891
chr10,24975089,24975103
chr10,25081152,25081170
chr10,25113323,25113337
chr10,25227272,25227286
chr10,26043351,26043365
chr10,26335253,26335267
chr10,26557256,26557270
chr10,26622534,26622548
chr10,26684844,26684858
chr10,26726282,26726300
chr10,26882195,26882209
chr10,26890941,26890955
chr10,26891068,26891082
chr10,27100215,27100229
chr10,27155173,27155187
chr10,27258927,27258948
chr10,27285303,27285317
chr10,27299791,27299811
chr10,27354892,27354906
chr10,27355048,27355062
chr10,27360757,27360771
chr10,27483212,27483226
chr10,27558699,27558713
chr10,27656787,27656804
chr10,27744776,27744790
chr10,28241978,28241992
chr10,28302634,28302651
chr10,28382056,28382070
chr10,28394142,28394156
chr10,28405342,28405356
chr10,28432322,28432336
chr10,28574340,28574354
chr10,28588053,28588067
chr10,28628299,28628316
chr10,28664027,28664041
chr10,28668879,28668893
chr10,28677388,28677402
chr10,28681650,28681664
chr10,28711136,28711150
chr10,28722503,28722517
chr10,28774284,28774298
chr10,29119565,29119579
chr10,29125234,29125248
chr10,29130422,29130436
chr10,29142797,29142811
chr10,29445618,29445632
chr10,29449188,29449202
chr10,29473131,29473145
chr10,29496557,29496571
chr10,29517514,29517528
chr10,29618140,29618154
chr10,29634847,29634861
chr10,29735963,29735977
chr10,29858626,29858646
chr10,29998508,29998522
chr10,30002608,30002622
chr10,30059611,30059637
chr10,30152064,30152084
chr10,30152196,30152210
chr10,30199574,30199588
chr10,30241309,30241323
chr10,30359846,30359860
chr10,30365454,30365468
chr10,30365558,30365575
chr10,30387768,30387782
chr10,30392672,30392686
chr10,30414180,30414194
chr10,30522674,30522688
chr10,30528117,30528134
chr10,30529650,30529664
chr10,30534711,30534725
chr10,30553186,30553203
chr10,30581968,30581982
chr10,30587904,30587918
chr10,30591379,30591393
chr10,30603776,30603790
chr10,30671209,30671223
chr10,30687851,30687865
chr10,30726964,30726978
chr10,30784032,30784046
chr10,30784154,30784168
chr10,31083889,31083903
chr10,31468357,31468371
chr10,31468450,31468464
chr10,31582733,31582747
chr10,31602499,31602513
chr10,31603653,31603667
chr10,31761084,31761098
chr10,31770487,31770501
chr10,31836869,31836883
chr10,31836982,31837010
chr10,31862673,31862687
chr10,31940977,31940991
chr10,31947799,31947813
chr10,31963066,31963080
chr10,32005163,32005177
chr10,32139701,32139715
chr10,32207671,32207688
chr10,32210933,32210947
chr10,32256836,32256850
chr10,32346334,32346348
chr10,32367997,32368011
chr10,32378849,32378863
chr10,32944286,32944300
chr10,32961910,32961924
chr10,33008898,33008912
chr10,33010402,33010416
chr10,33156002,33156016
chr10,33193521,33193535
chr10,33217085,33217099
chr10,33330660,33330674
chr10,34288867,34288881
chr10,34299155,34299169
chr10,34522747,34522761
chr10,34528220,34528234
chr10,34637658,34637676
chr10,34638632,34638646
chr10,34655754,34655768
chr10,34666462,34666476
chr10,34684680,34684697
chr10,34721445,34721459
chr10,34723983,34723997
chr10,34768984,34768998
chr10,34863203,34863217
chr10,34961226,34961240
chr10,34994848,34994862
chr10,34995036,34995050
chr10,35563465,35563493
chr10,35635682,35635699
chr10,36115706,36115720
chr10,36725665,36725679
chr10,36889165,36889179
chr10,36900228,36900255
chr10,37146564,37146578
chr10,37288876,37288880
chr10,37754917,37754941
chr10,37857608,37857625
chr10,37976551,37976565
chr10,38356332,38356346
chr10,38366111,38366125
chr10,42769770,42769787
chr10,42864651,42864665
chr10,42864832,42864846
chr10,42866837,42866851
chr10,43041608,43041622
chr10,43042689,43042703
chr10,43043930,43043944
chr10,43079088,43079102
chr10,43082967,43082981
chr10,43090436,43090450
chr10,43105649,43105663
chr10,43203882,43203896
chr10,43203923,43203937
chr10,43203943,43203957
chr10,43205106,43205120
chr10,43283077,43283091
chr10,43293214,43293228
chr10,43293400,43293414
chr10,43317281,43317295
chr10,43348634,43348648
chr10,43362365,43362379
chr10,43390893,43390911
chr10,43390983,43390997
chr10,43404850,43404868
chr10,43420771,43420788
chr10,43455742,43455756
chr10,43462072,43462086
chr10,43586949,43586963
chr10,43671820,43671834
chr10,43690232,43690256
chr10,43845332,43845346
chr10,44010928,44010942
chr10,44011167,44011181
chr10,44195623,44195637
chr10,44311178,44311192
chr10,44311246,44311260
chr10,44386725,44386755
chr10,44731500,44731514
chr10,44806949,44806963
chr10,44827716,44827737
chr10,44853316,44853330
chr10,44853451,44853465
chr10,44857931,44857958
chr10,44863494,44863511
chr10,44864991,44865015
chr10,44932868,44932882
chr10,44968714,44968728
chr10,44975104,44975126
chr10,44980366,44980380
chr10,44980621,44980635
chr10,44990553,44990577
chr10,44994651,44994665
chr10,45008802,45008816
chr10,45235375,45235389
chr10,45362702,45362721
chr10,45374059,45374076
chr10,45374153,45374167
chr10,45465152,45465166
chr10,45914717,45914731
chr10,45983685,45983699
chr10,46028770,46028784
chr10,46046533,46046547
chr10,46228551,46228565
chr10,46228723,46228737
chr10,46229440,46229454
chr10,46256268,46256282
chr10,46273735,46273752
chr10,46288357,46288371
chr10,46292250,46292264
chr10,46442173,46442187
chr10,46468293,46468307
chr10,46541292,46541337
chr10,46545202,46545219
chr10,46565786,46565800
chr10,46993095,46993109
chr10,47024926,47024940
chr10,47047765,47047779
chr10,47195439,47195453
chr10,47287572,47287586
chr10,47312304,47312321
chr10,47361384,47361401
chr10,47361583,47361597
chr10,47377641,47377655
chr10,47377720,47377740
chr10,47406424,47406441
chr10,47439045,47439059
chr10,47452684,47452698
chr10,47705972,47705986
chr10,47706015,47706029
chr10,47775996,47776010
chr10,47776053,47776067
chr10,48289831,48289845
chr10,48310096,48310110
chr10,48363700,48363714
chr10,48445203,48445217
chr10,48506730,48506744
chr10,48524451,48524478
chr10,48605076,48605090
chr10,48608322,48608336
chr10,48656360,48656374
chr10,48656426,48656440
chr10,48658442,48658466
chr10,48981506,48981520
chr10,49407730,49407747
chr10,49593141,49593155
chr10,49593223,49593240
chr10,49607145,49607159
chr10,49762210,49762224
chr10,49883840,49883854
chr10,50224513,50224527
chr10,50325639,50325653
chr10,50392626,50392640
chr10,50421440,50421454
chr10,50552991,50553005
chr10,50622146,50622160
chr10,50660329,50660343
chr10,51397944,51397958
chr10,51422785,51422799
chr10,51960490,51960504
chr10,51960584,51960598
chr10,52215933,52215947
chr10,52308358,52308375
chr10,52466591,52466605
chr10,52644847,52644864
chr10,52780282,52780296
chr10,52950093,52950113
chr10,52952007,52952021
chr10,53111680,53111694
chr10,53111801,53111815
chr10,53210135,53210149
chr10,53601458,53601472
chr10,55410797,55410811
chr10,55900182,55900201
chr10,57657326,57657350
chr10,57891714,57891728
chr10,57993068,57993082
chr10,58152891,58152905
chr10,58291753,58291767
chr10,58299690,58299704
chr10,58335169,58335183
chr10,58385236,58385250
chr10,58414715,58414729
chr10,58468641,58468655
chr10,58531286,58531300
chr10,58782069,58782083
chr10,58952849,58952863
chr10,58967700,58967717
chr10,59043575,59043589
chr10,59181858,59181872
chr10,59593895,59593909
chr10,59611145,59611159
chr10,59622503,59622517
chr10,59626189,59626203
chr10,59626228,59626242
chr10,59805251,59805278
chr10,59809547,59809561
chr10,59865315,59865329
chr10,60099245,60099259
chr10,60100339,60100353
chr10,60102032,60102046
chr10,60647402,60647416
chr10,60768998,60769012
chr10,60816730,60816744
chr10,60964341,60964359
chr10,61001486,61001506
chr10,61001598,61001609
chr10,61037490,61037504
chr10,61190752,61190766
chr10,61410509,61410523
chr10,61662870,61662887
chr10,61733531,61733545
chr10,61751114,61751134
chr10,61835293,61835307
chr10,61897121,61897135
chr10,61903257,61903271
chr10,61904988,61905008
chr10,62036400,62036414
chr10,62038831,62038845
chr10,62046804,62046818
chr10,62245196,62245210
chr10,62268667,62268681
chr10,62268794,62268815
chr10,62454992,62455006
chr10,62594194,62594208
chr10,62858508,62858522
chr10,62858604,62858618
chr10,62877892,62877906
chr10,62878069,62878083
chr10,62924403,62924417
chr10,62924622,62924638
chr10,63084079,63084093
chr10,63133186,63133200
chr10,63158310,63158324
chr10,63166978,63166992
chr10,63217269,63217283
chr10,63633875,63633889
chr10,63702416,63702430
chr10,63720164,63720178
chr10,63720257,63720274
chr10,63866600,63866614
chr10,63872390,63872404
chr10,63872504,63872518
chr10,63887415,63887429
chr10,63976722,63976736
chr10,63977505,63977519
chr10,64041333,64041347
chr10,64041399,64041415
chr10,64116111,64116125
chr10,64120825,64120844
chr10,64360570,64360584
chr10,64734190,64734204
chr10,65275496,65275510
chr10,65795059,65795073
chr10,66180912,66180926
chr10,66627377,66627391
chr10,66925987,66926002
chr10,67780095,67780109
chr10,67788618,67788632
chr10,67829356,67829370
chr10,67838154,67838168
chr10,67852791,67852805
chr10,68094233,68094247
chr10,68156562,68156576
chr10,68208621,68208635
chr10,68302380,68302394
chr10,68348616,68348633
chr10,68407333,68407362
chr10,68471803,68471817
chr10,68871507,68871521
chr10,68897638,68897652
chr10,68988576,68988590
chr10,68989279,68989293
chr10,69093472,69093486
chr10,69180320,69180339
chr10,69180574,69180598
chr10,69219628,69219642
chr10,69222382,69222396
chr10,69237750,69237767
chr10,69318640,69318656
chr10,69319553,69319567
chr10,69392701,69392715
chr10,69405805,69405819
chr10,69407940,69407954
chr10,69408725,69408739
chr10,69408839,69408853
chr10,69408878,69408892
chr10,69408932,69408946
chr10,69410745,69410759
chr10,69413433,69413451
chr10,69426418,69426435
chr10,69427291,69427305
chr10,69439626,69439640
chr10,69465213,69465227
chr10,69475417,69475431
chr10,69507895,69507909
chr10,69508033,69508047
chr10,69515622,69515636
chr10,69515809,69515823
chr10,69516443,69516457
chr10,69630181,69630195
chr10,69637119,69637133
chr10,69639407,69639421
chr10,69696308,69696322
chr10,69717123,69717147
chr10,69800289,69800303
chr10,69801260,69801274
chr10,69855766,69855780
chr10,69861648,69861662
chr10,69861908,69861922
chr10,69865634,69865648
chr10,69868539,69868553
chr10,69869355,69869369
chr10,69901779,69901799
chr10,69903295,69903309
chr10,69913739,69913753
chr10,69914826,69914840
chr10,69958464,69958478
chr10,70052765,70052779
chr10,70090039,70090053
chr10,70116378,70116392
chr10,70221702,70221716
chr10,70222446,70222460
chr10,70230756,70230770
chr10,70265291,70265305
chr10,70265396,70265410
chr10,70265414,70265428
chr10,70267847,70267861
chr10,70272783,70272797
chr10,70348635,70348649
chr10,70364680,70364694
chr10,70379766,70379780
chr10,70461402,70461419
chr10,70461567,70461581
chr10,70509176,70509190
chr10,70537833,70537847
chr10,70550037,70550057
chr10,70559504,70559518
chr10,70674768,70674782
chr10,70759235,70759253
chr10,70760193,70760207
chr10,70815835,70815849
chr10,70880204,70880218
chr10,70903482,70903499
chr10,70919458,70919472
chr10,70920757,70920771
chr10,70920868,70920885
chr10,70925852,70925881
chr10,70971066,70971080
chr10,71209147,71209161
chr10,71209233,71209247
chr10,71232502,71232526
chr10,71232597,71232614
chr10,71249414,71249428
chr10,71258888,71258902
chr10,71258913,71258933
chr10,71266336,71266350
chr10,71270482,71270496
chr10,71285240,71285254
chr10,71326776,71326790
chr10,71343582,71343596
chr10,71352050,71352074
chr10,71384389,71384403
chr10,71468915,71468929
chr10,71603607,71603621
chr10,71609359,71609373
chr10,71650077,71650091
chr10,71696882,71696906
chr10,71708382,71708396
chr10,71715330,71715344
chr10,71734500,71734514
chr10,71736183,71736197
chr10,71737304,71737318
chr10,71748696,71748713
chr10,71766395,71766409
chr10,71806043,71806057
chr10,71812038,71812052
chr10,71812114,71812142
chr10,71840340,71840354
chr10,71868279,71868293
chr10,71889663,71889680
chr10,71896560,71896574
chr10,71956261,71956275
chr10,71970481,71970495
chr10,71970541,71970555
chr10,71973532,71973546
chr10,71975834,71975848
chr10,71999667,71999682
chr10,72044493,72044507
chr10,72048687,72048701
chr10,72057238,72057252
chr10,72084261,72084275
chr10,72084349,72084363
chr10,72096264,72096278
chr10,72099464,72099478
chr10,72242826,72242840
chr10,72255071,72255085
chr10,72256421,72256435
chr10,72260838,72260845
chr10,72260931,72260949
chr10,72266066,72266080
chr10,72267982,72267996
chr10,72274905,72274925
chr10,72291077,72291091
chr10,72297976,72297990
chr10,72306325,72306339
chr10,72308502,72308516
chr10,72309491,72309505
chr10,72319847,72319861
chr10,72321833,72321847
chr10,72322648,72322662
chr10,72328200,72328214
chr10,72333685,72333699
chr10,72335171,72335188
chr10,72337328,72337342
chr10,72338304,72338318
chr10,72340592,72340619
chr10,72349517,72349534
chr10,72364451,72364465
chr10,72364708,72364722
chr10,72694668,72694682
chr10,73061242,73061256
chr10,73111057,73111071
chr10,73168218,73168242
chr10,73413899,73413913
chr10,73414179,73414196
chr10,73495845,73495859
chr10,73529522,73529536
chr10,73625909,73625927
chr10,73644331,73644345
chr10,73663883,73663897
chr10,73664023,73664037
chr10,73729415,73729429
chr10,73744361,73744375
chr10,73744533,73744547
chr10,73772284,73772298
chr10,73774924,73774938
chr10,73782013,73782027
chr10,73813505,73813519
chr10,73818624,73818638
chr10,73819838,73819852
chr10,73849199,73849216
chr10,73873935,73873949
chr10,73874632,73874646
chr10,73874698,73874724
chr10,73879825,73879839
chr10,73886241,73886259
chr10,73911067,73911081
chr10,73940773,73940787
chr10,73940806,73940820
chr10,73957550,73957567
chr10,73999108,73999122
chr10,73999156,73999170
chr10,73999199,73999216
chr10,74150566,74150580
chr10,74266182,74266206
chr10,74800126,74800140
chr10,74827037,74827051
chr10,74923877,74923902
chr10,75025314,75025328
chr10,75100113,75100127
chr10,75108815,75108829
chr10,75188066,75188080
chr10,75230747,75230761
chr10,75230952,75230966
chr10,75264056,75264070
chr10,75266330,75266344
chr10,75275520,75275537
chr10,75282129,75282143
chr10,75283271,75283285
chr10,75283505,75283519
chr10,75284686,75284703
chr10,75359030,75359044
chr10,75395355,75395369
chr10,75395484,75395498
chr10,75409622,75409636
chr10,75430348,75430362
chr10,75431426,75431440
chr10,75431496,75431510
chr10,76033807,76033821
chr10,76036507,76036521
chr10,76092009,76092023
chr10,76148271,76148290
chr10,76303920,76303937
chr10,76311911,76311928
chr10,76547548,76547562
chr10,76632861,76632875
chr10,76984995,76985012
chr10,77112061,77112075
chr10,77157830,77157844
chr10,77165917,77165931
chr10,77174053,77174071
chr10,77185987,77186001
chr10,77243385,77243399
chr10,77251459,77251473
chr10,77325485,77325499
chr10,77391968,77391982
chr10,77392060,77392077
chr10,77405812,77405838
chr10,77410417,77410431
chr10,77513966,77513983
chr10,77601856,77601870
chr10,77602846,77602860
chr10,77605686,77605700
chr10,77606907,77606921
chr10,77630222,77630236
chr10,77641992,77642006
chr10,77644183,77644197
chr10,77711594,77711611
chr10,77845220,77845234
chr10,77846820,77846834
chr10,77851066,77851080
chr10,77865234,77865248
chr10,77885927,77885941
chr10,77886642,77886656
chr10,77890263,77890277
chr10,77890349,77890366
chr10,77898550,77898564
chr10,77908035,77908049
chr10,77919882,77919896
chr10,78029646,78029657
chr10,78047458,78047472
chr10,78066156,78066170
chr10,78088991,78089010
chr10,78303474,78303488
chr10,78424922,78424936
chr10,78459735,78459749
chr10,78521239,78521253
chr10,78528653,78528667
chr10,78542685,78542699
chr10,78568815,78568829
chr10,78579072,78579086
chr10,78580007,78580021
chr10,78580158,78580182
chr10,78657736,78657762
chr10,78757134,78757148
chr10,78775375,78775389
chr10,78806939,78806953
chr10,78853029,78853043
chr10,78927329,78927343
chr10,78947543,78947557
chr10,78965313,78965327
chr10,79066579,79066593
chr10,79067347,79067373
chr10,79102404,79102418
chr10,79115642,79115656
chr10,79128635,79128649
chr10,79151846,79151860
chr10,79151927,79151941
chr10,79158726,79158740
chr10,79184446,79184463
chr10,79194852,79194866
chr10,79195613,79195627
chr10,79197034,79197048
chr10,79250316,79250347
chr10,79255233,79255247
chr10,79262305,79262319
chr10,79289941,79289955
chr10,79310060,79310074
chr10,79342553,79342567
chr10,79347295,79347309
chr10,79359025,79359039
chr10,79359093,79359107
chr10,79374747,79374761
chr10,79382066,79382080
chr10,79382808,79382822
chr10,79399770,79399784
chr10,79446665,79446692
chr10,79467578,79467592
chr10,79487771,79487785
chr10,79562292,79562316
chr10,79685291,79685305
chr10,79779525,79779539
chr10,79827157,79827171
chr10,79929585,79929599
chr10,80058999,80059013
chr10,80130433,80130447
chr10,80132534,80132548
chr10,80132607,80132623
chr10,80132693,80132707
chr10,80143894,80143908
chr10,80164042,80164056
chr10,80191701,80191715
chr10,80200052,80200066
chr10,80203578,80203592
chr10,80205409,80205423
chr10,80378363,80378377
chr10,80383160,80383174
chr10,80383218,80383235
chr10,80408465,80408482
chr10,80413647,80413661
chr10,80414684,80414698
chr10,80444853,80444870
chr10,80458107,80458121
chr10,80468158,80468172
chr10,80505554,80505568
chr10,80505740,80505754
chr10,80523086,80523100
chr10,80536005,80536045
chr10,80599575,80599603
chr10,80662824,80662838
chr10,80664264,80664278
chr10,80686950,80686964
chr10,80699688,80699702
chr10,80924521,80924535
chr10,81019315,81019329
chr10,82811808,82811822
chr10,82814004,82814018
chr10,82826322,82826336
chr10,83871667,83871681
chr10,83917678,83917692
chr10,84008974,84008998
chr10,84148192,84148206
chr10,84159196,84159210
chr10,84177665,84177679
chr10,84179427,84179441
chr10,84194498,84194506
chr10,84194602,84194616
chr10,84197170,84197184
chr10,84205775,84205789
chr10,84214764,84214781
chr10,84257221,84257248
chr10,84264764,84264778
chr10,84267716,84267730
chr10,84280509,84280528
chr10,84323662,84323676
chr10,84323693,84323710
chr10,84352426,84352440
chr10,84375100,84375114
chr10,84416134,84416148
chr10,84430098,84430115
chr10,84537603,84537617
chr10,84540681,84540695
chr10,84541416,84541430
chr10,84613585,84613599
chr10,84783474,84783488
chr10,84927806,84927820
chr10,85548217,85548234
chr10,86262064,86262078
chr10,86377403,86377417
chr10,86389815,86389835
chr10,86389837,86389851
chr10,86535652,86535666
chr10,86563539,86563553
chr10,86585625,86585642
chr10,86632326,86632351
chr10,86652674,86652688
chr10,86666117,86666131
chr10,86674071,86674088
chr10,86683745,86683759
chr10,86688488,86688502
chr10,86752548,86752562
chr10,86899871,86899885
chr10,86939589,86939603
chr10,86946436,86946450
chr10,86958393,86958394
chr10,86960514,86960528
chr10,86960591,86960605
chr10,86964721,86964735
chr10,86967219,86967237
chr10,86970301,86970326
chr10,86971248,86971262
chr10,86978840,86978854
chr10,87019184,87019198
chr10,87019249,87019263
chr10,87203637,87203651
chr10,87203750,87203764
chr10,87214874,87214888
chr10,87301675,87301689
chr10,87504828,87504842
chr10,87504848,87504862
chr10,87656647,87656661
chr10,87735394,87735408
chr10,87735417,87735431
chr10,87772066,87772080
chr10,87817291,87817305
chr10,87850948,87850962
chr10,87862508,87862522
chr10,88389638,88389652
chr10,88457893,88457910
chr10,88553353,88553367
chr10,88583336,88583361
chr10,88731493,88731507
chr10,88810451,88810465
chr10,88835798,88835812
chr10,88865691,88865705
chr10,88932836,88932850
chr10,88934987,88935001
chr10,88935538,88935552
chr10,89030019,89030033
chr10,89084397,89084411
chr10,89260528,89260542
chr10,89346950,89346964
chr10,89392468,89392482
chr10,89426435,89426449
chr10,89444756,89444770
chr10,89620471,89620485
chr10,89793840,89793854
chr10,90788086,90788100
chr10,90857786,90857807
chr10,90871744,90871758
chr10,90911740,90911754
chr10,91006438,91006452
chr10,91251637,91251651
chr10,91298422,91298446
chr10,91389800,91389814
chr10,91635578,91635592
chr10,91745388,91745402
chr10,91788637,91788651
chr10,91796411,91796425
chr10,91796464,91796478
chr10,91887446,91887460
chr10,91908444,91908458
chr10,91913017,91913031
chr10,91927055,91927069
chr10,92087922,92087936
chr10,92115010,92115024
chr10,92239854,92239868
chr10,92292259,92292273
chr10,92435189,92435203
chr10,92517189,92517203
chr10,92590874,92590888
chr10,92593011,92593025
chr10,92593172,92593186
chr10,92689718,92689732
chr10,92699552,92699575
chr10,92843270,92843284
chr10,92848430,92848449
chr10,92914648,92914666
chr10,93062766,93062783
chr10,93073756,93073774
chr10,93080445,93080459
chr10,93115988,93116002
chr10,93254404,93254418
chr10,93289224,93289238
chr10,93357871,93357885
chr10,93376560,93376574
chr10,93426809,93426823
chr10,93446517,93446531
chr10,93459365,93459379
chr10,93462047,93462061
chr10,93463197,93463211
chr10,93473997,93474011
chr10,93511500,93511514
chr10,93542179,93542193
chr10,93554959,93554973
chr10,93568245,93568259
chr10,93591323,93591337
chr10,93595838,93595852
chr10,93596730,93596744
chr10,93631270,93631284
chr10,93680604,93680618
chr10,93746915,93746929
chr10,93751233,93751247
chr10,93813666,93813680
chr10,93816338,93816355
chr10,93916751,93916765
chr10,93999730,93999744
chr10,94076532,94076546
chr10,94165215,94165229
chr10,94320463,94320480
chr10,94444490,94444504
chr10,94964002,94964016
chr10,95183624,95183638
chr10,95183759,95183773
chr10,95183851,95183865
chr10,95243210,95243224
chr10,95246699,95246713
